ucode,ISO3,combination_id,population,combination,hazardCount,hazardLevel
SEN_V1,SEN,171,543.8031719212886,River Flood + Coastal Flood + Drought + Extreme Heat + Sand and Dust Storm,5,Multiple
KHM_V1,KHM,93,535.804434879683,River Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
QAT_V1,QAT,241,531.7212499305606,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
MOZ_V1,MOZ,173,521.4862912539393,River Flood + Tropical Storm + Drought + Extreme Heat + Sand and Dust Storm,5,Multiple
TWN_V1,TWN,87,519.76871350687,River Flood + Coastal Flood + Tropical Storm + Heatwave + Fire,5,Multiple
CHN_V1,CHN,206,518.7432427788153,Coastal Flood + Tropical Storm + Drought + Fire + Sand and Dust Storm,5,Multiple
OMN_V1,OMN,229,517.7884045159444,River Flood + Tropical Storm + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
MRT_V1,MRT,233,515.8981116369001,River Flood + Drought + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
MEX_V1,MEX,229,509.10914772545425,River Flood + Tropical Storm + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
MDG_V1,MDG,157,506.1538304006681,River Flood + Tropical Storm + Drought + Heatwave + Sand and Dust Storm,5,Multiple
KHM_V1,KHM,31,495.4291144475142,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave,5,Multiple
IDN_V1,IDN,185,473.3435576812136,River Flood + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
BGD_V1,BGD,143,466.35407422294514,River Flood + Coastal Flood + Tropical Storm + Drought + Sand and Dust Storm,5,Multiple
NAM_V1,NAM,241,460.66205806668756,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
YEM_V1,YEM,115,460.1077701666776,River Flood + Coastal Flood + Heatwave + Extreme Heat + Fire,5,Multiple
ZAF_V1,ZAF,241,455.2392278145025,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
NER_V1,NER,241,454.8561728708446,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
SLV_V1,SLV,117,454.6194249551536,River Flood + Tropical Storm + Heatwave + Extreme Heat + Fire,5,Multiple
