system:index,ISO3,combination,combination_id,hazardCount,hazardLevel,population,.geo
5218,USA,Drought + Heatwave + Extreme Heat + Sand and Dust Storm,184,4,Multiple,74757.93527390409,"{""type"":""MultiPoint"",""coordinates"":[]}"
2522,KEN,River Flood + Heatwave + Extreme Heat + Sand and Dust Storm,177,4,Multiple,72353.29171331911,"{""type"":""MultiPoint"",""coordinates"":[]}"
833,CHN,Coastal Flood + Tropical Storm + Heatwave + Extreme Heat,54,4,Multiple,71848.26892315797,"{""type"":""MultiPoint"",""coordinates"":[]}"
2036,IND,River Flood + Tropical Storm + Extreme Heat + Sand and Dust Storm,165,4,Multiple,71396.29326863798,"{""type"":""MultiPoint"",""coordinates"":[]}"
6468,AZE,River Flood + Drought + Heatwave + Extreme Heat,57,4,Multiple,71380.12111780561,"{""type"":""MultiPoint"",""coordinates"":[]}"
9301,TJK,River Flood + Drought + Heatwave + Extreme Heat,57,4,Multiple,70421.24426989256,"{""type"":""MultiPoint"",""coordinates"":[]}"
1215,COL,Drought + Heatwave + Extreme Heat + Fire,120,4,Multiple,69842.39123180114,"{""type"":""MultiPoint"",""coordinates"":[]}"
2084,IND,Drought + Extreme Heat + Fire + Sand and Dust Storm,232,4,Multiple,69664.05642665923,"{""type"":""MultiPoint"",""coordinates"":[]}"
5670,YEM,Heatwave + Extreme Heat + Fire + Sand and Dust Storm,240,4,Multiple,69035.52027413249,"{""type"":""MultiPoint"",""coordinates"":[]}"
846,CHN,River Flood + Coastal Flood + Tropical Storm + Fire,71,4,Multiple,68678.71481236652,"{""type"":""MultiPoint"",""coordinates"":[]}"
5912,ZWE,Drought + Heatwave + Extreme Heat + Fire,120,4,Multiple,68113.45623679165,"{""type"":""MultiPoint"",""coordinates"":[]}"
8551,PHL,River Flood + Tropical Storm + Heatwave + Fire,85,4,Multiple,67805.39618415314,"{""type"":""MultiPoint"",""coordinates"":[]}"
4543,SOM,Heatwave + Extreme Heat + Fire + Sand and Dust Storm,240,4,Multiple,67216.70665532783,"{""type"":""MultiPoint"",""coordinates"":[]}"
1982,IND,Tropical Storm + Drought + Heatwave + Fire,92,4,Multiple,67037.24598969519,"{""type"":""MultiPoint"",""coordinates"":[]}"
