iso3,river_flood_gmean,coastal_flood_gmean,storm_gmean,drought_gmean,heatwave_gmean,extreme_heat_gmean,fire_gmean,sand_dust_gmean,air_pollution_gmean,malaria_gmean
EGY,9.557077320087917,4.457710840504867,1.0,5.843409100758235,5.519811345809108,9.202744676209008,2.95879107661154,3.8969102297154308,9.666038113508058,1.0
NER,3.496990948600567,1.0,1.0,5.479823944652295,2.772897545514337,9.353381585582726,2.652041590784824,8.140691299560899,9.354015119077784,3.045738123253216
PAK,8.270657587439254,2.303687291399812,4.8669750452135645,7.097168018304906,4.338517104796033,9.506913461257888,3.109736948543819,5.588729607785256,9.995863530445156,7.329481459983199
PNG,3.2059204994977333,,3.860863895865289,4.901981237220529,4.030814474487796,1.7361662138064278,2.755863619034696,1.1389293399744216,8.069299443663471,8.642961216185384
UZB,4.500454424316705,1.0,1.0,7.659548502402815,4.812415919329051,8.704049998395634,2.8394534243934335,3.6481630947058683,9.314059156001086,1.674737948302111
CCK,1.0,1.0,3.1622776601683795,1.0,1.0,,,1.0197504611585084,,1.0
PER,3.7945801891703743,1.938498090269927,1.0,6.265544106435066,5.233885211558465,3.0446690411572996,3.8779086141051016,4.473120408708274,9.20334090843379,4.414375515040428
COD,3.854587852879381,1.711916717616301,1.0,5.2607146271021925,6.465970932192178,6.100906082641855,7.167169937896112,2.5202195760724853,9.675513832634723,3.103628360981564
MNG,2.985341713650462,1.0,1.0,2.188642747140197,5.0148680169674975,1.6225092810670039,2.293091782581362,5.407505535890024,8.460411442804114,1.0
WLF,1.0,1.0,5.438392384460079,3.0925283721779806,1.0,,1.0,1.0,1.125347472864081,1.0
THA,7.020842917975346,2.2658305034503097,6.1785796914802065,4.619377918138892,4.271354030374104,8.437183619669241,3.11286520393197,2.1880238104041436,9.076963533954677,2.994925476123549
ISL,1.9509502832252819,5.234064292990872,1.0,2.5261109592478803,2.089127728807515,1.0,1.0,1.0,5.446600920619306,1.0
xSK,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0
CZE,2.9858266713997663,1.0,1.0,3.5789779273575144,4.994078261881201,1.0,2.147038649184008,1.1435445270633138,8.627364312298464,1.0
TKM,7.151174633671128,2.0571855579047438,1.0,7.149795797468575,4.4048813348871505,8.687565884933942,2.7127636553558867,5.927121265920986,8.725324118679382,1.5971582172263827
CYP,1.0,1.4460647686429835,1.0,1.8417962706303752,3.1057092824842094,5.362510101449265,2.353687030806501,3.2142686611189677,6.738444099513036,1.0
